year,age,maritl,race,education,jobclass,health_ins,wage
2007,28,2. Married,1. White,2. HS Grad,1. Industrial,2. No,66.2294082944
2007,48,2. Married,1. White,3. Some College,2. Information,2. No,109.31532002
2007,22,1. Never Married,1. White,,1. Industrial,2. No,59.0970640816
2008,52,2. Married,1. White,2. HS Grad,2. Information,2. No,79.8549003093
2003,48,2. Married,1. White,2. HS Grad,1. Industrial,2. No,97.4932940454
2005,40,2. Married,1. White,3. Some College,2. Information,1. Yes,120.9267015444
2006,37,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,75.0431540174
2004,45,1. Never Married,2. Black,2. HS Grad,2. Information,1. Yes,66.9616443217
2004,42,2. Married,1. White,3. Some College,1. Industrial,1. Yes,148.4131591026
2006,38,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,107.9039238669
2003,47,2. Married,1. White,4. College Grad,2. Information,1. Yes,127.1157438122
2004,40,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,82.6796372966
2004,56,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,120.9267015444
2003,51,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,70.8150386168
2008,43,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,87.9810327856
2005,53,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,70.4760196469
2004,41,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,90.4819133566
2003,23,1. Never Married,2. Black,1. < HS Grad,2. Information,2. No,
2009,43,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,156.5035108826
2004,39,2. Married,1. White,3. Some College,2. Information,2. No,106.9218140912
2008,46,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,166.3249412339
2007,45,2. Married,1. White,2. HS Grad,2. Information,1. Yes,73.7757432747
2005,35,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,200.5432623247
2003,26,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,56.9055391447
2006,45,2. Married,3. Asian,3. Some College,1. Industrial,1. Yes,130.9821773775
2005,40,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,87.9810327856
2003,39,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,104.9215065337
2007,38,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,109.8339856422
2005,36,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,134.7053751189
2005,51,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,65.1108537153
2003,40,2. Married,4. Other,2. HS Grad,2. Information,1. Yes,138.6391722216
2009,37,1. Never Married,2. Black,3. Some College,1. Industrial,1. Yes,94.0727147457
2008,33,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,125.5254984338
2003,43,,1. White,2. HS Grad,2. Information,1. Yes,72.4793162971
2007,41,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,284.5247409022
2009,32,2. Married,3. Asian,5. Advanced Degree,1. Industrial,1. Yes,138.2991269209
2008,31,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,92.8958447895
2004,22,1. Never Married,1. White,3. Some College,1. Industrial,2. No,80.4302079458
2008,35,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,85.9010443227
2006,38,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,94.0727147457
2009,20,1. Never Married,2. Black,3. Some College,2. Information,2. No,46.3665027413
2009,62,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,170.4601659149
2007,33,2. Married,2. Black,4. College Grad,2. Information,2. No,109.8339856422
2009,39,2. Married,1. White,2. HS Grad,2. Information,2. No,73.7773452719
2005,24,1. Never Married,2. Black,3. Some College,2. Information,2. No,73.9357192872
2003,23,1. Never Married,1. White,3. Some College,2. Information,2. No,90.4819133566
2008,58,2. Married,1. White,5. Advanced Degree,1. Industrial,2. No,135.5980597522
2003,43,2. Married,1. White,4. College Grad,2. Information,1. Yes,114.4757132903
2009,38,2. Married,1. White,4. College Grad,2. Information,1. Yes,114.4757132903
2003,34,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,68.7480877338
2003,55,2. Married,1. White,4. College Grad,2. Information,1. Yes,105.9278107751
2009,26,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,78.392466801
2003,30,2. Married,4. Other,1. < HS Grad,2. Information,2. No,123.0896998479
2007,30,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,93.878683485
2007,47,2. Married,1. White,2. HS Grad,1. Industrial,2. No,84.8520440938
,56,3. Widowed,1. White,4. College Grad,1. Industrial,1. Yes,87.9810327856
2005,46,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,134.7053751189
2006,32,2. Married,1. White,3. Some College,1. Industrial,1. Yes,106.9218140912
2003,62,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,130.9821773775
2004,52,4. Divorced,1. White,3. Some College,2. Information,1. Yes,115.3750385564
2005,46,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,117.1468169148
2004,43,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,272.2947832201
2008,58,2. Married,1. White,3. Some College,1. Industrial,2. No,104.9215065337
2008,45,,1. White,2. HS Grad,1. Industrial,1. Yes,145.1436011769
2005,46,2. Married,4. Other,5. Advanced Degree,2. Information,1. Yes,145.1436011769
2003,58,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,148.4131591026
2003,50,2. Married,3. Asian,4. College Grad,1. Industrial,1. Yes,94.0727147457
2005,50,2. Married,1. White,2. HS Grad,1. Industrial,2. No,91.6992261117
2009,30,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,114.4757132903
2004,35,2. Married,1. White,3. Some College,1. Industrial,2. No,123.0896998479
2006,52,2. Married,1. White,3. Some College,1. Industrial,1. Yes,109.8339856422
2009,47,2. Married,3. Asian,3. Some College,2. Information,2. No,118.8843593399
2005,38,2. Married,1. White,2. HS Grad,1. Industrial,2. No,87.8535469004
2004,33,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,95.230712567
2003,46,2. Married,1. White,2. HS Grad,2. Information,1. Yes,114.4757132903
2003,46,2. Married,1. White,2. HS Grad,2. Information,2. No,94.0727147457
2009,54,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,166.3249412339
2005,58,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,59.0970640816
2006,33,2. Married,1. White,1. < HS Grad,2. Information,2. No,73.7757432747
2008,48,2. Married,1. White,4. College Grad,2. Information,1. Yes,145.1436011769
2006,20,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,70.4760196469
2005,47,5. Separated,1. White,1. < HS Grad,1. Industrial,2. No,61.187526434
2005,29,2. Married,1. White,3. Some College,1. Industrial,1. Yes,102.8702469332
2009,44,2. Married,1. White,4. College Grad,2. Information,2. No,94.0727147457
2007,43,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,141.7751723332
2008,53,2. Married,1. White,2. HS Grad,1. Industrial,2. No,109.8339856422
2003,43,2. Married,3. Asian,1. < HS Grad,2. Information,2. No,65.1108537153
2008,47,2. Married,1. White,4. College Grad,2. Information,1. Yes,134.7053751189
2004,59,2. Married,1. White,1. < HS Grad,,1. Yes,89.1678286671
2006,47,2. Married,1. White,3. Some College,2. Information,1. Yes,134.7053751189
2007,38,2. Married,1. White,3. Some College,1. Industrial,1. Yes,128.6804882206
2008,48,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,107.9039238669
2004,41,2. Married,1. White,2. HS Grad,2. Information,1. Yes,148.4131591026
2006,39,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,277.7994802057
2009,66,2. Married,1. White,4. College Grad,2. Information,1. Yes,127.1157438122
2005,30,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,85.383940379
2007,66,2. Married,2. Black,1. < HS Grad,2. Information,1. Yes,99.6894636985
2007,45,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,148.4131591026
2004,55,2. Married,1. White,4. College Grad,2. Information,2. No,134.7053751189
2009,27,2. Married,2. Black,3. Some College,2. Information,1. Yes,99.6894636985
2003,33,2. Married,1. White,4. College Grad,1. Industrial,2. No,107.9039238669
2008,34,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,134.7053751189
2006,50,2. Married,1. White,2. HS Grad,2. Information,1. Yes,123.0896998479
2003,61,2. Married,1. White,5. Advanced Degree,2. Information,2. No,130.9821773775
2005,58,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,227.458934033
2004,28,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,99.6894636985
2005,28,2. Married,1. White,3. Some College,1. Industrial,1. Yes,96.934090457
2007,50,2. Married,1. White,4. College Grad,2. Information,1. Yes,113.5670895698
2007,55,4. Divorced,1. White,4. College Grad,1. Industrial,1. Yes,147.11668916
2008,46,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,276.7784133212
2008,34,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,118.8843593399
2004,45,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,138.2991269209
2004,52,2. Married,1. White,3. Some College,2. Information,2. No,94.0727147457
2008,31,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2004,42,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,95.230712567
2009,44,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,118.8843593399
2005,55,2. Married,1. White,2. HS Grad,2. Information,1. Yes,114.4757132903
2009,58,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,104.9215065337
2008,47,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,176.9896504899
2009,23,1. Never Married,1. White,2. HS Grad,2. Information,2. No,49.5553381215
2006,71,2. Married,2. Black,1. < HS Grad,1. Industrial,2. No,89.2428846645
2003,60,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,59.0970640816
2009,49,4. Divorced,1. White,1. < HS Grad,2. Information,1. Yes,102.8702469332
2004,25,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,61.187526434
2005,41,4. Divorced,2. Black,3. Some College,2. Information,1. Yes,104.9215065337
2006,61,2. Married,1. White,3. Some College,2. Information,1. Yes,130.9821773775
2008,61,2. Married,1. White,4. College Grad,2. Information,2. No,79.8549003093
2006,32,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,104.9215065337
2008,27,1. Never Married,1. White,4. College Grad,1. Industrial,2. No,81.2832532843
2006,58,2. Married,2. Black,1. < HS Grad,1. Industrial,1. Yes,70.4760196469
2008,48,2. Married,1. White,2. HS Grad,1. Industrial,2. No,114.4757132903
2007,50,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,126.3238807098
2006,62,2. Married,1. White,2. HS Grad,2. Information,1. Yes,101.8243520757
2003,51,2. Married,1. White,2. HS Grad,1. Industrial,2. No,104.9215065337
2009,30,1. Never Married,2. Black,3. Some College,1. Industrial,2. No,94.0727147457
2006,37,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,94.0727147457
2009,30,,3. Asian,5. Advanced Degree,1. Industrial,1. Yes,118.8843593399
2008,51,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,59.0328548279
2003,51,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,178.700657207
2007,49,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,79.8549003093
2005,25,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2004,36,2. Married,1. White,2. HS Grad,1. Industrial,2. No,76.8936025176
2009,55,2. Married,3. Asian,1. < HS Grad,1. Industrial,2. No,54.5981500331
2006,49,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,154.6852929956
2006,47,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,112.6488963421
2003,38,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,70.4760196469
2007,46,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,318.3424300565
2003,46,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2003,43,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,81.2832532843
2004,31,1. Never Married,2. Black,,2. Information,1. Yes,109.8339856422
2005,46,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,90.4819133566
2005,28,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,90.4819133566
2006,45,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,95.230712567
2005,57,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,148.4131591026
2009,53,2. Married,2. Black,3. Some College,2. Information,1. Yes,123.0896998479
2004,40,2. Married,1. White,3. Some College,2. Information,1. Yes,193.8668781466
2003,42,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,120.5894365304
2003,50,2. Married,1. White,2. HS Grad,1. Industrial,2. No,76.8936025176
2003,40,2. Married,3. Asian,5. Advanced Degree,1. Industrial,2. No,115.3750385564
2007,29,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,73.7757432747
2005,40,2. Married,1. White,3. Some College,2. Information,1. Yes,123.0896998479
2008,40,2. Married,1. White,2. HS Grad,2. Information,1. Yes,101.8243520757
2003,64,1. Never Married,1. White,3. Some College,2. Information,1. Yes,99.6894636985
2005,43,2. Married,1. White,2. HS Grad,2. Information,1. Yes,90.4819133566
2008,49,2. Married,3. Asian,2. HS Grad,2. Information,1. Yes,65.1108537153
2006,43,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,95.230712567
2008,27,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,93.5572673479
2006,28,1. Never Married,2. Black,3. Some College,1. Industrial,,54.5981500331
2003,40,2. Married,1. White,5. Advanced Degree,2. Information,2. No,127.1157438122
2006,49,2. Married,1. White,2. HS Grad,1. Industrial,2. No,87.9810327856
2006,54,5. Separated,1. White,4. College Grad,1. Industrial,1. Yes,148.4131591026
2006,49,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,94.0727147457
2003,40,2. Married,1. White,3. Some College,1. Industrial,2. No,80.8581959565
2008,64,4. Divorced,1. White,2. HS Grad,2. Information,1. Yes,95.230712567
2004,27,2. Married,1. White,2. HS Grad,1. Industrial,2. No,72.1504556816
2005,40,2. Married,2. Black,3. Some College,2. Information,2. No,78.392466801
2007,46,2. Married,1. White,2. HS Grad,1. Industrial,2. No,93.486692043
2008,39,2. Married,3. Asian,5. Advanced Degree,1. Industrial,1. Yes,99.6894636985
2008,48,2. Married,1. White,4. College Grad,2. Information,1. Yes,123.0896998479
2008,58,1. Never Married,1. White,1. < HS Grad,2. Information,1. Yes,
2005,48,2. Married,2. Black,3. Some College,1. Industrial,2. No,87.7884362155
2003,22,1. Never Married,1. White,3. Some College,1. Industrial,2. No,73.7757432747
2009,55,4. Divorced,1. White,2. HS Grad,2. Information,1. Yes,102.8702469332
2009,63,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2009,45,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2007,58,4. Divorced,1. White,3. Some College,2. Information,1. Yes,111.720849361
2009,52,2. Married,1. White,5. Advanced Degree,2. Information,2. No,133.2323508266
2009,26,1. Never Married,1. White,3. Some College,1. Industrial,2. No,94.0727147457
2007,51,2. Married,1. White,4. College Grad,2. Information,1. Yes,94.0727147457
2006,53,2. Married,1. White,5. Advanced Degree,2. Information,2. No,160.6424754083
2008,38,2. Married,3. Asian,5. Advanced Degree,1. Industrial,1. Yes,136.8763676352
2004,47,2. Married,3. Asian,3. Some College,1. Industrial,1. Yes,118.8843593399
2006,39,2. Married,1. White,2. HS Grad,2. Information,1. Yes,99.6894636985
2007,39,2. Married,1. White,4. College Grad,2. Information,1. Yes,148.4131591026
2008,58,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,70.4760196469
2006,20,1. Never Married,2. Black,3. Some College,2. Information,2. No,75.0431540174
2003,25,1. Never Married,1. White,3. Some College,1. Industrial,2. No,94.0727147457
2003,38,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,131.737801155
2006,62,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,73.7757432747
2005,45,2. Married,1. White,2. HS Grad,2. Information,1. Yes,134.7053751189
2009,46,2. Married,1. White,3. Some College,1. Industrial,1. Yes,104.9215065337
2008,49,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,279.1974969917
2006,45,2. Married,1. White,2. HS Grad,1. Industrial,,101.402052303
2005,45,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,148.4131591026
2008,66,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,148.4131591026
2007,47,2. Married,1. White,3. Some College,1. Industrial,1. Yes,171.7651326275
2006,37,4. Divorced,1. White,4. College Grad,1. Industrial,2. No,109.8339856422
2009,37,2. Married,1. White,4. College Grad,2. Information,1. Yes,107.2560621284
2007,41,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,87.9810327856
2008,37,1. Never Married,1. White,5. Advanced Degree,2. Information,2. No,182.0206209635
2005,27,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,127.1157438122
2004,33,2. Married,2. Black,3. Some College,2. Information,1. Yes,104.9215065337
2008,37,2. Married,1. White,2. HS Grad,2. Information,1. Yes,96.3706528322
2003,45,2. Married,1. White,4. College Grad,2. Information,1. Yes,133.2323508266
2006,47,2. Married,1. White,3. Some College,1. Industrial,1. Yes,118.8843593399
2004,53,2. Married,1. White,4. College Grad,2. Information,1. Yes,136.8763676352
2005,44,4. Divorced,4. Other,5. Advanced Degree,2. Information,1. Yes,68.7480877338
2007,50,2. Married,3. Asian,3. Some College,1. Industrial,2. No,118.8843593399
2003,44,2. Married,1. White,5. Advanced Degree,2. Information,2. No,99.6894636985
2004,43,2. Married,1. White,3. Some College,2. Information,1. Yes,134.7053751189
2009,38,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,311.9345688964
2006,40,2. Married,1. White,3. Some College,1. Industrial,1. Yes,145.8051633746
2006,54,2. Married,1. White,3. Some College,2. Information,1. Yes,91.6992261117
2003,35,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,88.9296066368
2004,61,4. Divorced,1. White,2. HS Grad,1. Industrial,1. Yes,113.5670895698
2004,56,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,118.8843593399
2005,48,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,128.6804882206
2006,37,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,78.392466801
2004,49,2. Married,2. Black,3. Some College,1. Industrial,1. Yes,139.1563253919
2007,24,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,90.4819133566
2009,42,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,128.6804882206
2003,42,2. Married,3. Asian,3. Some College,1. Industrial,1. Yes,103.9024706032
2008,45,2. Married,1. White,3. Some College,1. Industrial,2. No,117.1468169148
2005,54,1. Never Married,2. Black,3. Some College,2. Information,1. Yes,109.4898414522
2007,49,5. Separated,1. White,3. Some College,2. Information,1. Yes,97.4932940454
2003,55,2. Married,1. White,5. Advanced Degree,2. Information,2. No,268.2662920126
2008,29,2. Married,4. Other,1. < HS Grad,2. Information,1. Yes,73.7757432747
2005,31,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,123.0896998479
2009,19,1. Never Married,2. Black,2. HS Grad,2. Information,2. No,73.7757432747
2008,28,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,99.6894636985
2007,50,2. Married,1. White,4. College Grad,2. Information,1. Yes,127.1157438122
2003,26,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. Yes,73.7757432747
2006,38,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,134.7053751189
2009,20,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,76.8936025176
2004,54,4. Divorced,1. White,1. < HS Grad,2. Information,2. No,65.1108537153
2005,44,2. Married,2. Black,2. HS Grad,1. Industrial,2. No,99.6894636985
2005,26,1. Never Married,2. Black,2. HS Grad,1. Industrial,1. Yes,84.045957654
2007,33,2. Married,1. White,4. College Grad,2. Information,2. No,113.5670895698
2005,32,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,118.8843593399
2009,49,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,145.1436011769
2009,27,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,65.1108537153
2004,48,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,278.9644666958
2007,32,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,118.8843593399
2007,30,2. Married,1. White,3. Some College,2. Information,2. No,131.737801155
2006,32,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,99.6894636985
2003,19,1. Never Married,1. White,2. HS Grad,2. Information,2. No,54.5981500331
2007,31,2. Married,2. Black,2. HS Grad,1. Industrial,1. Yes,94.0727147457
2008,41,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,132.4878211261
2008,32,,1. White,2. HS Grad,2. Information,1. Yes,125.5254984338
2009,63,2. Married,2. Black,5. Advanced Degree,1. Industrial,2. No,91.6992261117
2006,65,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,104.9215065337
2003,50,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,121.0108265658
2004,51,2. Married,1. White,3. Some College,1. Industrial,2. No,101.8243520757
2006,55,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,127.1157438122
2008,19,1. Never Married,1. White,3. Some College,1. Industrial,2. No,30.9237526934
2009,40,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,163.5158639762
2005,48,2. Married,1. White,3. Some College,1. Industrial,1. Yes,123.908567598
2003,61,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,79.1280844956
2008,70,2. Married,2. Black,3. Some College,2. Information,1. Yes,99.6894636985
2003,37,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,94.0727147457
2006,41,2. Married,3. Asian,2. HS Grad,1. Industrial,1. Yes,82.6796372966
2003,53,2. Married,1. White,4. College Grad,2. Information,1. Yes,176.9896504899
2004,60,1. Never Married,2. Black,1. < HS Grad,2. Information,1. Yes,77.0452008528
2009,46,2. Married,1. White,5. Advanced Degree,1. Industrial,2. No,150.3306534958
2003,30,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,148.4131591026
2004,36,1. Never Married,3. Asian,2. HS Grad,1. Industrial,2. No,72.1504556816
2009,57,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,141.7751723332
2008,34,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,76.8936025176
2003,26,1. Never Married,4. Other,4. College Grad,2. Information,2. No,38.2235828218
2004,39,2. Married,2. Black,2. HS Grad,2. Information,2. No,81.2832532843
2005,47,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,92.8958447895
2008,43,2. Married,1. White,4. College Grad,2. Information,1. Yes,196.1252725943
2006,31,2. Married,1. White,2. HS Grad,2. Information,1. Yes,102.8702469332
2008,30,2. Married,1. White,3. Some College,1. Industrial,1. Yes,95.230712567
2006,62,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,279.5017819637
2004,54,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,176.9896504899
2009,42,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,198.3502904644
2005,33,2. Married,1. White,3. Some College,2. Information,1. Yes,136.8763676352
2003,20,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,76.8936025176
2007,48,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2008,39,2. Married,1. White,2. HS Grad,1. Industrial,2. No,65.1108537153
2006,30,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,105.3758926603
2004,54,2. Married,1. White,2. HS Grad,2. Information,1. Yes,111.720849361
2003,41,1. Never Married,3. Asian,3. Some College,2. Information,2. No,73.7757432747
2004,49,2. Married,1. White,2. HS Grad,1. Industrial,2. No,95.230712567
2009,30,1. Never Married,1. White,4. College Grad,1. Industrial,2. No,81.2832532843
2004,34,4. Divorced,1. White,2. HS Grad,1. Industrial,2. No,90.4819133566
2008,22,1. Never Married,1. White,4. College Grad,2. Information,2. No,76.283277854
2006,32,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,73.7757432747
2005,55,4. Divorced,1. White,2. HS Grad,2. Information,1. Yes,102.8702469332
2006,32,1. Never Married,1. White,1. < HS Grad,2. Information,1. Yes,94.0727147457
2005,39,2. Married,1. White,2. HS Grad,1. Industrial,2. No,295.9912499825
2007,49,2. Married,1. White,2. HS Grad,2. Information,2. No,79.8549003093
2006,26,2. Married,1. White,2. HS Grad,1. Industrial,2. No,75.0431540174
2003,42,2. Married,1. White,3. Some College,2. Information,1. Yes,74.4446382014
2007,45,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,148.4131591026
2005,32,2. Married,1. White,2. HS Grad,2. Information,2. No,112.6488963421
2003,37,2. Married,1. White,2. HS Grad,2. Information,1. Yes,106.9218140912
2007,39,2. Married,4. Other,4. College Grad,2. Information,1. Yes,104.9215065337
2006,31,2. Married,1. White,4. College Grad,2. Information,1. Yes,92.0363233011
2004,51,2. Married,1. White,4. College Grad,2. Information,1. Yes,88.8315691738
2003,50,5. Separated,1. White,2. HS Grad,2. Information,1. Yes,67.826787132
2008,39,2. Married,2. Black,2. HS Grad,1. Industrial,2. No,99.6894636985
,40,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,81.2832532843
2005,33,1. Never Married,2. Black,1. < HS Grad,2. Information,1. Yes,87.9810327856
2004,40,2. Married,3. Asian,1. < HS Grad,2. Information,,105.9278107751
2006,41,2. Married,1. White,2. HS Grad,1. Industrial,2. No,127.1157438122
2009,31,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,113.5670895698
2004,43,1. Never Married,2. Black,3. Some College,1. Industrial,1. Yes,82.6796372966
2003,34,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,148.4131591026
2004,55,2. Married,1. White,3. Some College,2. Information,1. Yes,109.8339856422
2007,47,2. Married,1. White,4. College Grad,1. Industrial,2. No,65.1108537153
2006,59,1. Never Married,1. White,3. Some College,2. Information,1. Yes,117.1468169148
2007,30,2. Married,1. White,2. HS Grad,1. Industrial,2. No,99.6894636985
2005,46,2. Married,1. White,3. Some College,1. Industrial,1. Yes,100.7642728421
2003,52,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,92.1611220323
2007,40,1. Never Married,3. Asian,5. Advanced Degree,1. Industrial,1. Yes,109.8339856422
2008,48,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,200.5432623247
2009,40,1. Never Married,2. Black,1. < HS Grad,2. Information,1. Yes,
2006,47,2. Married,1. White,4. College Grad,2. Information,2. No,160.6424754083
2003,23,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,54.5981500331
2007,30,2. Married,2. Black,3. Some College,2. Information,2. No,121.4303138226
2004,32,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,112.6488963421
2009,31,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,166.3249412339
2006,23,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,40.4056652597
2004,46,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,190.5476785647
2003,63,5. Separated,2. Black,2. HS Grad,2. Information,1. Yes,127.9012329791
2005,57,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,70.8150386168
2005,43,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,100.7642728421
2009,46,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,74.4383046682
2006,30,2. Married,1. White,2. HS Grad,1. Industrial,2. No,118.8843593399
2007,38,2. Married,1. White,2. HS Grad,1. Industrial,2. No,89.492479518
2007,32,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,66.9616443217
